intervention_priority_rank	lane_id	source_center	destination_center	route_type	trip_count	segment_count	sla_breach_count	sla_breach_rate_pct	avg_delay_minutes	total_delay_minutes	total_projected_cost_of_delay_inr	expected_recovery_if_fixed_inr	estimated_effort	impact_vs_effort_score
1	IND000000ACB -> IND562132AAA | FTL	IND000000ACB	IND562132AAA	FTL	66	4970	1106	22.25	16.28	80900	165900	116130	high	38710.00
2	IND000000ACB -> IND712311AAA | FTL	IND000000ACB	IND712311AAA	FTL	48	2831	716	25.29	18.14	51345	107400	75180	high	25060.00
3	IND562132AAA -> IND000000ACB | FTL	IND562132AAA	IND000000ACB	FTL	44	3316	636	19.18	14.6	48400	95400	66780	high	22260.00
4	IND781018AAB -> IND110037AAM | FTL	IND781018AAB	IND110037AAM	FTL	17	1137	385	33.86	26.64	30286	57750	40425	medium	20212.50
5	IND834002AAB -> IND826004AAA | Carting	IND834002AAB	IND826004AAA	Carting	21	286	176	61.54	13.1	3748	26400	18480	low	18480.00
6	IND000000ACB -> IND501359AAE | FTL	IND000000ACB	IND501359AAE	FTL	29	1638	479	29.24	19.02	31157	71850	50295	high	16765.00
7	IND562132AAA -> IND751002AAB | FTL	IND562132AAA	IND751002AAB	FTL	15	818	258	31.54	20.15	16481	38700	27090	medium	13545.00
8	IND421302AAG -> IND110037AAM | FTL	IND421302AAG	IND110037AAM	FTL	19	965	257	26.63	20.02	19322	38550	26985	medium	13492.50
9	IND834002AAB -> IND827013AAA | Carting	IND834002AAB	IND827013AAA	Carting	17	169	121	71.60	27.45	4639	18150	12705	low	12705.00
10	IND562132AAA -> IND302014AAA | FTL	IND562132AAA	IND302014AAA	FTL	14	975	240	24.62	16.32	15914	36000	25200	medium	12600.00
11	IND000000ACB -> IND421302AAG | FTL	IND000000ACB	IND421302AAG	FTL	33	1616	359	22.22	17.15	27711	53850	37695	high	12565.00
12	IND751002AAB -> IND562132AAA | FTL	IND751002AAB	IND562132AAA	FTL	13	706	237	33.57	22.75	16060	35550	24885	medium	12442.50
13	IND000000ACB -> IND600056AAB | FTL	IND000000ACB	IND600056AAB	FTL	14	1014	234	23.08	19.53	19801	35100	24570	medium	12285.00
14	IND421302AAG -> IND444005AAB | FTL	IND421302AAG	IND444005AAB	FTL	20	419	232	55.37	25.21	10564	34800	24360	medium	12180.00
15	IND421302AAG -> IND000000ACB | FTL	IND421302AAG	IND000000ACB	FTL	26	1268	337	26.58	18.63	23624	50550	35385	high	11795.00
16	IND421302AAG -> IND501359AAE | FTL	IND421302AAG	IND501359AAE	FTL	24	671	222	33.08	18.84	12641	33300	23310	medium	11655.00
17	IND000000ACB -> IND751002AAB | FTL	IND000000ACB	IND751002AAB	FTL	15	853	222	26.03	18.25	15567	33300	23310	medium	11655.00
18	IND516115AAA -> IND517501AAB | Carting	IND516115AAA	IND517501AAB	Carting	17	135	107	79.26	11.9	1607	16050	11235	low	11235.00
19	IND144001AAC -> IND160002AAC | Carting	IND144001AAC	IND160002AAC	Carting	15	254	107	42.13	9.59	2436	16050	11235	low	11235.00
20	IND000000ACB -> IND411033AAA | FTL	IND000000ACB	IND411033AAA	FTL	22	1120	212	18.93	13.64	15277	31800	22260	medium	11130.00
21	IND306401AAB -> IND305001AAC | Carting	IND306401AAB	IND305001AAC	Carting	20	319	105	32.92	13.49	4303	15750	11025	low	11025.00
22	IND501359AAE -> IND462022AAA | FTL	IND501359AAE	IND462022AAA	FTL	20	613	207	33.77	20.82	12760	31050	21735	medium	10867.50
23	IND854326AAB -> IND000000ACB | FTL	IND854326AAB	IND000000ACB	FTL	18	899	205	22.80	18.16	16326	30750	21525	medium	10762.50
24	IND421302AAG -> IND712311AAA | FTL	IND421302AAG	IND712311AAA	FTL	9	664	202	30.42	18.12	12031	30300	21210	medium	10605.00
25	IND000000ACB -> IND842001AAA | FTL	IND000000ACB	IND842001AAA	FTL	19	720	197	27.36	18.54	13350	29550	20685	medium	10342.50
26	IND000000ACB -> IND821115AAB | FTL	IND000000ACB	IND821115AAB	FTL	18	665	193	29.02	16.12	10720	28950	20265	medium	10132.50
27	IND000000ACB -> IND131028AAB | Carting	IND000000ACB	IND131028AAB	Carting	92	740	191	25.81	10.49	7760	28650	20055	medium	10027.50
28	IND210501AAB -> IND209304AAA | Carting	IND210501AAB	IND209304AAA	Carting	16	141	95	67.38	15.54	2191	14250	9975	low	9975.00
29	IND444005AAB -> IND421302AAG | FTL	IND444005AAB	IND421302AAG	FTL	20	419	188	44.87	23.73	9941	28200	19740	medium	9870.00
30	IND110037AAM -> IND421302AAG | FTL	IND110037AAM	IND421302AAG	FTL	18	814	184	22.60	20.74	16886	27600	19320	medium	9660.00
31	IND395023AAA -> IND562132AAA | FTL	IND395023AAA	IND562132AAA	FTL	20	930	184	19.78	15.19	14127	27600	19320	medium	9660.00
32	IND517583AAA -> IND516101AAA | Carting	IND517583AAA	IND516101AAA	Carting	19	127	91	71.65	8.38	1064	13650	9555	low	9555.00
33	IND421302AAG -> IND400072AAB | Carting	IND421302AAG	IND400072AAB	Carting	105	288	171	59.38	14.06	4048	25650	17955	medium	8977.50
34	IND411033AAA -> IND000000ACB | FTL	IND411033AAA	IND000000ACB	FTL	18	924	168	18.18	13.33	12316	25200	17640	medium	8820.00
35	IND421302AAG -> IND131028AAB | FTL	IND421302AAG	IND131028AAB	FTL	14	741	165	22.27	16.45	12192	24750	17325	medium	8662.50
36	IND501359AAE -> IND411033AAA | FTL	IND501359AAE	IND411033AAA	FTL	20	480	164	34.17	18.49	8875	24600	17220	medium	8610.00
37	IND395023AAA -> IND110037AAM | FTL	IND395023AAA	IND110037AAM	FTL	18	773	162	20.96	15.83	12240	24300	17010	medium	8505.00
38	IND000000ACB -> IND834002AAB | FTL	IND000000ACB	IND834002AAB	FTL	16	727	161	22.15	15	10905	24150	16905	medium	8452.50
39	IND560300AAA -> IND560099AAB | Carting	IND560300AAA	IND560099AAB	Carting	86	422	160	37.91	14.32	6043	24000	16800	medium	8400.00
40	IND000000ACB -> IND521225AAB | FTL	IND000000ACB	IND521225AAB	FTL	11	682	158	23.17	17.17	11707	23700	16590	medium	8295.00
41	IND560099AAB -> IND560300AAA | Carting	IND560099AAB	IND560300AAA	Carting	121	605	157	25.95	10.34	6253	23550	16485	medium	8242.50
42	IND712311AAA -> IND000000ACB | FTL	IND712311AAA	IND000000ACB	FTL	11	657	156	23.74	15.18	9975	23400	16380	medium	8190.00
43	IND400072AAD -> IND421302AAG | Carting	IND400072AAD	IND421302AAG	Carting	99	238	154	64.71	23.33	5553	23100	16170	medium	8085.00
44	IND160002AAC -> IND000000ACB | FTL	IND160002AAC	IND000000ACB	FTL	66	716	227	31.70	21.06	15079	34050	23835	high	7945.00
45	IND562132AAA -> IND462022AAA | FTL	IND562132AAA	IND462022AAA	FTL	13	625	151	24.16	20.14	12587	22650	15855	medium	7927.50
46	IND000000ACB -> IND160002AAC | FTL	IND000000ACB	IND160002AAC	FTL	58	656	225	34.30	26.88	17635	33750	23625	high	7875.00
47	IND825409AAA -> IND000000ACB | FTL	IND825409AAA	IND000000ACB	FTL	14	613	149	24.31	14.2	8702	22350	15645	medium	7822.50
48	IND421302AAG -> IND462022AAA | FTL	IND421302AAG	IND462022AAA	FTL	12	358	144	40.22	21.23	7600	21600	15120	medium	7560.00
49	IND532001AAB -> IND530012AAA | Carting	IND532001AAB	IND530012AAA	Carting	22	232	72	31.03	9.38	2176	10800	7560	low	7560.00
50	IND421302AAG -> IND562132AAA | FTL	IND421302AAG	IND562132AAA	FTL	30	1129	216	19.13	15.5	17498	32400	22680	high	7560.00
51	IND712311AAA -> IND421302AAG | FTL	IND712311AAA	IND421302AAG	FTL	5	374	141	37.70	21.6	8080	21150	14805	medium	7402.50
52	IND742303AAB -> IND741165AAB | Carting	IND742303AAB	IND741165AAB	Carting	18	72	69	95.83	19.42	1398	10350	7245	low	7245.00
53	IND712311AAA -> IND781018AAB | FTL	IND712311AAA	IND781018AAB	FTL	8	203	134	66.01	60.21	12223	20100	14070	medium	7035.00
54	IND400072AAB -> IND401104AAA | Carting	IND400072AAB	IND401104AAA	Carting	72	144	133	92.36	17.01	2449	19950	13965	medium	6982.50
55	IND450331AAA -> IND452001AAC | Carting	IND450331AAA	IND452001AAC	Carting	13	113	66	58.41	10.16	1148	9900	6930	low	6930.00
56	IND382430AAB -> IND000000ACB | FTL	IND382430AAB	IND000000ACB	FTL	17	558	132	23.66	20.34	11350	19800	13860	medium	6930.00
57	IND131028AAB -> IND000000ACB | Carting	IND131028AAB	IND000000ACB	Carting	86	757	132	17.44	9.35	7076	19800	13860	medium	6930.00
58	IND562132AAA -> IND560300AAA | Carting	IND562132AAA	IND560300AAA	Carting	151	589	129	21.90	9.67	5694	19350	13545	medium	6772.50
59	IND441912AAA -> IND441107AAB | Carting	IND441912AAA	IND441107AAB	Carting	11	107	64	59.81	14.42	1543	9600	6720	low	6720.00
60	IND834002AAB -> IND000000ACB | FTL	IND834002AAB	IND000000ACB	FTL	10	470	127	27.02	14.77	6943	19050	13335	medium	6667.50
61	IND585307AAB -> IND585104AAA | Carting	IND585307AAB	IND585104AAA	Carting	17	107	62	57.94	42.55	4553	9300	6510	low	6510.00
62	IND000000ACB -> IND382430AAB | FTL	IND000000ACB	IND382430AAB	FTL	17	556	122	21.94	15.83	8799	18300	12810	medium	6405.00
63	IND000000ACB -> IND121002AAB | Carting	IND000000ACB	IND121002AAB	Carting	57	335	121	36.12	11.79	3950	18150	12705	medium	6352.50
64	IND431112AAB -> IND431136AAC | Carting	IND431112AAB	IND431136AAC	Carting	11	87	60	68.97	14.57	1268	9000	6300	low	6300.00
65	IND785690AAB -> IND785682AAA | Carting	IND785690AAB	IND785682AAA	Carting	16	68	59	86.76	27.41	1864	8850	6195	low	6195.00
66	IND400072AAB -> IND421302AAG | Carting	IND400072AAB	IND421302AAG	Carting	63	171	116	67.84	25.34	4333	17400	12180	medium	6090.00
67	IND000000ACB -> IND209304AAA | FTL	IND000000ACB	IND209304AAA	FTL	15	269	116	43.12	21.99	5914	17400	12180	medium	6090.00
68	IND530012AAA -> IND532001AAB | Carting	IND530012AAA	IND532001AAB	Carting	24	264	58	21.97	5.97	1576	8700	6090	low	6090.00
69	IND212402AAA -> IND211002AAB | Carting	IND212402AAA	IND211002AAB	Carting	13	65	56	86.15	201.98	13129	8400	5880	low	5880.00
70	IND462022AAA -> IND209304AAA | FTL	IND462022AAA	IND209304AAA	FTL	25	525	167	31.81	18.98	9966	25050	17535	high	5845.00
71	IND421302AAG -> IND382430AAB | FTL	IND421302AAG	IND382430AAB	FTL	18	330	111	33.64	20.52	6771	16650	11655	medium	5827.50
72	IND792130AAB -> IND786001AAB | Carting	IND792130AAB	IND786001AAB	Carting	10	83	54	65.06	20.3	1685	8100	5670	low	5670.00
73	IND400072AAB -> IND000000AFT | Carting	IND400072AAB	IND000000AFT	Carting	67	131	104	79.39	18.29	2396	15600	10920	medium	5460.00
74	IND421302AAG -> IND401104AAA | Carting	IND421302AAG	IND401104AAA	Carting	78	148	104	70.27	28.64	4238	15600	10920	medium	5460.00
75	IND431517AAB -> IND411033AAA | FTL	IND431517AAB	IND411033AAA	FTL	12	151	103	68.21	29.47	4450	15450	10815	medium	5407.50
76	IND110044AAB -> IND000000ACB | Carting	IND110044AAB	IND000000ACB	Carting	76	453	103	22.74	8.43	3820	15450	10815	medium	5407.50
77	IND401209AAB -> IND421302AAH | Carting	IND401209AAB	IND421302AAH	Carting	19	57	51	89.47	20.18	1150	7650	5355	low	5355.00
78	IND421302AAG -> IND400015AAA | Carting	IND421302AAG	IND400015AAA	Carting	49	197	102	51.78	15.46	3045	15300	10710	medium	5355.00
79	IND411033AAA -> IND521225AAB | FTL	IND411033AAA	IND521225AAB	FTL	10	341	102	29.91	18.09	6167	15300	10710	medium	5355.00
80	IND209304AAA -> IND000000ACB | FTL	IND209304AAA	IND000000ACB	FTL	35	627	151	24.08	16.04	10060	22650	15855	high	5285.00
81	IND516101AAA -> IND516115AAA | Carting	IND516101AAA	IND516115AAA	Carting	18	69	50	72.46	10.57	729	7500	5250	low	5250.00
82	IND712103AAA -> IND712310AAE | Carting	IND712103AAA	IND712310AAE	Carting	23	76	50	65.79	22.55	1714	7500	5250	low	5250.00
83	IND786181AAC -> IND786001AAB | Carting	IND786181AAC	IND786001AAB	Carting	14	105	50	47.62	13.75	1444	7500	5250	low	5250.00
84	IND273304AAA -> IND273014AAB | Carting	IND273304AAA	IND273014AAB	Carting	14	97	49	50.52	27.66	2683	7350	5145	low	5145.00
85	IND413002AAA -> IND501359AAE | FTL	IND413002AAA	IND501359AAE	FTL	17	208	97	46.63	21.13	4396	14550	10185	medium	5092.50
86	IND400015AAB -> IND421302AAG | Carting	IND400015AAB	IND421302AAG	Carting	23	81	48	59.26	23.67	1917	7200	5040	low	5040.00
87	IND411033AAA -> IND431603AAA | FTL	IND411033AAA	IND431603AAA	FTL	15	253	96	37.94	23.59	5968	14400	10080	medium	5040.00
88	IND271210AAA -> IND271001AAA | Carting	IND271210AAA	IND271001AAA	Carting	12	69	47	68.12	21.01	1450	7050	4935	low	4935.00
89	IND362265AAA -> IND362720AAA | Carting	IND362265AAA	IND362720AAA	Carting	16	78	47	60.26	10.5	819	7050	4935	low	4935.00
90	IND713130AAA -> IND741123AAB | Carting	IND713130AAA	IND741123AAB	Carting	17	83	47	56.63	15.72	1305	7050	4935	low	4935.00
91	IND501359AAE -> IND533106AAA | FTL	IND501359AAE	IND533106AAA	FTL	12	204	94	46.08	20.95	4274	14100	9870	medium	4935.00
92	IND788026AAC -> IND781018AAB | FTL	IND788026AAC	IND781018AAB	FTL	18	141	93	65.96	43.52	6136	13950	9765	medium	4882.50
93	IND411033AAA -> IND403726AAA | FTL	IND411033AAA	IND403726AAA	FTL	20	335	93	27.76	22.58	7564	13950	9765	medium	4882.50
94	IND400072AAB -> IND400015AAA | Carting	IND400072AAB	IND400015AAA	Carting	60	107	92	85.98	24.51	2623	13800	9660	medium	4830.00
95	IND421302AAG -> IND400102AAC | Carting	IND421302AAG	IND400102AAC	Carting	62	160	92	57.50	26.22	4195	13800	9660	medium	4830.00
96	IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	23	137	46	33.58	12.39	1697	6900	4830	low	4830.00
97	IND421302AAG -> IND411033AAA | FTL	IND421302AAG	IND411033AAA	FTL	72	355	137	38.59	21.9	7773	20550	14385	high	4795.00
