lane_id	source_center	destination_center	route_type	segment_count	trip_count	delayed_segment_count	sla_breach_count	delay_frequency_pct	sla_breach_rate_pct	avg_delay_minutes	avg_delay_ratio	delay_frequency_rank
IND000000ACB -> IND562132AAA | FTL	IND000000ACB	IND562132AAA	FTL	4970	66	4488	1106	90.30	22.25	16.28	1.78	1
IND562132AAA -> IND000000ACB | FTL	IND562132AAA	IND000000ACB	FTL	3316	44	2983	636	89.96	19.18	14.6	1.71	2
IND000000ACB -> IND712311AAA | FTL	IND000000ACB	IND712311AAA	FTL	2831	48	2639	716	93.22	25.29	18.14	2.08	3
IND000000ACB -> IND421302AAG | FTL	IND000000ACB	IND421302AAG	FTL	1616	33	1522	359	94.18	22.22	17.15	1.85	4
IND000000ACB -> IND501359AAE | FTL	IND000000ACB	IND501359AAE	FTL	1638	29	1468	479	89.62	29.24	19.02	1.97	5
IND421302AAG -> IND000000ACB | FTL	IND421302AAG	IND000000ACB	FTL	1268	26	1217	337	95.98	26.58	18.63	1.92	6
IND421302AAG -> IND562132AAA | FTL	IND421302AAG	IND562132AAA	FTL	1129	30	1061	216	93.98	19.13	15.5	1.86	7
IND781018AAB -> IND110037AAM | FTL	IND781018AAB	IND110037AAM	FTL	1137	17	1048	385	92.17	33.86	26.64	2.11	8
IND000000ACB -> IND411033AAA | FTL	IND000000ACB	IND411033AAA	FTL	1120	22	946	212	84.46	18.93	13.64	1.63	9
IND000000ACB -> IND600056AAB | FTL	IND000000ACB	IND600056AAB	FTL	1014	14	919	234	90.63	23.08	19.53	1.84	10
IND421302AAG -> IND110037AAM | FTL	IND421302AAG	IND110037AAM	FTL	965	19	886	257	91.81	26.63	20.02	1.99	11
IND562132AAA -> IND302014AAA | FTL	IND562132AAA	IND302014AAA	FTL	975	14	882	240	90.46	24.62	16.32	1.81	12
IND395023AAA -> IND562132AAA | FTL	IND395023AAA	IND562132AAA	FTL	930	20	847	184	91.08	19.78	15.19	1.84	13
IND562132AAA -> IND751002AAB | FTL	IND562132AAA	IND751002AAB	FTL	818	15	804	258	98.29	31.54	20.15	1.99	14
IND854326AAB -> IND000000ACB | FTL	IND854326AAB	IND000000ACB	FTL	899	18	788	205	87.65	22.80	18.16	1.85	15
IND110037AAM -> IND421302AAG | FTL	IND110037AAM	IND421302AAG	FTL	814	18	749	184	92.01	22.60	20.74	1.85	16
IND411033AAA -> IND000000ACB | FTL	IND411033AAA	IND000000ACB	FTL	924	18	749	168	81.06	18.18	13.33	1.7	17
IND000000ACB -> IND751002AAB | FTL	IND000000ACB	IND751002AAB	FTL	853	15	747	222	87.57	26.03	18.25	1.76	18
IND395023AAA -> IND110037AAM | FTL	IND395023AAA	IND110037AAM	FTL	773	18	716	162	92.63	20.96	15.83	1.8	19
IND421302AAG -> IND131028AAB | FTL	IND421302AAG	IND131028AAB	FTL	741	14	713	165	96.22	22.27	16.45	1.82	20
IND160002AAC -> IND000000ACB | FTL	IND160002AAC	IND000000ACB	FTL	716	66	705	227	98.46	31.70	21.06	2.1	21
