lane_id	source_center	destination_center	route_type	week_start	segment_count	trip_count	avg_delay_minutes	prior_week_avg_delay_minutes	wow_avg_delay_change_minutes	sla_breach_rate_pct	prior_week_sla_breach_rate_pct	wow_sla_breach_rate_change_pct
IND000000AAL -> IND411033AAA | Carting	IND000000AAL	IND411033AAA	Carting	2018-09-10	16	8	24.06	NULL	NULL	43.75	NULL	NULL
IND000000AAL -> IND411033AAA | Carting	IND000000AAL	IND411033AAA	Carting	2018-09-17	11	6	27.73	24.06	3.67	72.73	43.75	28.98
IND000000AAL -> IND411033AAA | Carting	IND000000AAL	IND411033AAA	Carting	2018-10-01	8	4	43.38	27.73	15.65	75.00	72.73	2.27
IND000000AAQ -> IND700028AAB | Carting	IND000000AAQ	IND700028AAB	Carting	2018-10-01	4	2	35.25	NULL	NULL	100.00	NULL	NULL
IND000000AAS -> IND783370AAC | FTL	IND000000AAS	IND783370AAC	FTL	2018-09-10	2	1	25.5	NULL	NULL	50.00	NULL	NULL
IND000000AAS -> IND783370AAC | FTL	IND000000AAS	IND783370AAC	FTL	2018-09-17	10	5	17.6	25.5	-7.9	40.00	50.00	-10.00
IND000000AAS -> IND783370AAC | FTL	IND000000AAS	IND783370AAC	FTL	2018-09-24	6	3	10.17	17.6	-7.43	0.00	40.00	-40.00
IND000000AAZ -> IND444203AAA | FTL	IND000000AAZ	IND444203AAA	FTL	2018-09-10	3	1	70	NULL	NULL	100.00	NULL	NULL
IND000000AAZ -> IND444303AAA | FTL	IND000000AAZ	IND444303AAA	FTL	2018-09-24	2	1	45.5	NULL	NULL	100.00	NULL	NULL
IND000000ABA -> IND683565AAA | Carting	IND000000ABA	IND683565AAA	Carting	2018-09-17	3	3	0.67	NULL	NULL	0.00	NULL	NULL
IND000000ABA -> IND683565AAA | Carting	IND000000ABA	IND683565AAA	Carting	2018-09-24	5	4	17.6	0.67	16.93	60.00	0.00	60.00
IND000000ABD -> IND562132AAA | FTL	IND000000ABD	IND562132AAA	FTL	2018-09-10	40	4	31.42	NULL	NULL	20.00	NULL	NULL
IND000000ABD -> IND562132AAA | FTL	IND000000ABD	IND562132AAA	FTL	2018-09-17	78	6	15.82	31.42	-15.6	14.10	20.00	-5.90
IND000000ABD -> IND562132AAA | FTL	IND000000ABD	IND562132AAA	FTL	2018-09-24	26	2	17.92	15.82	2.1	19.23	14.10	5.13
IND000000ABG -> IND501359AAF | Carting	IND000000ABG	IND501359AAF	Carting	2018-09-10	6	2	60.67	NULL	NULL	66.67	NULL	NULL
IND000000ABG -> IND501359AAF | Carting	IND000000ABG	IND501359AAF	Carting	2018-09-17	17	5	50.65	60.67	-10.02	52.94	66.67	-13.73
IND000000ABG -> IND501359AAF | Carting	IND000000ABG	IND501359AAF	Carting	2018-09-24	14	4	43.79	50.65	-6.86	50.00	52.94	-2.94
IND000000ACA -> IND140406AAA | FTL	IND000000ACA	IND140406AAA	FTL	2018-09-17	6	2	9.33	NULL	NULL	33.33	NULL	NULL
IND000000ACA -> IND142001AAB | FTL	IND000000ACA	IND142001AAB	FTL	2018-09-10	16	4	8.19	NULL	NULL	6.25	NULL	NULL
IND000000ACA -> IND142001AAB | FTL	IND000000ACA	IND142001AAB	FTL	2018-09-17	8	2	9.62	8.19	1.43	12.50	6.25	6.25
IND000000ACA -> IND142001AAB | FTL	IND000000ACA	IND142001AAB	FTL	2018-09-24	12	3	8.58	9.62	-1.04	16.67	12.50	4.17
IND000000ACA -> IND142401AAA | FTL	IND000000ACA	IND142401AAA	FTL	2018-09-10	4	2	13.5	NULL	NULL	75.00	NULL	NULL
IND000000ACA -> IND142401AAA | FTL	IND000000ACA	IND142401AAA	FTL	2018-09-17	8	4	24.75	13.5	11.25	50.00	75.00	-25.00
IND000000ACA -> IND142401AAA | FTL	IND000000ACA	IND142401AAA	FTL	2018-09-24	6	3	8.17	24.75	-16.58	50.00	50.00	0.00
IND000000ACA -> IND142401AAA | FTL	IND000000ACA	IND142401AAA	FTL	2018-10-01	6	3	8	8.17	-0.17	50.00	50.00	0.00
IND000000ACA -> IND143001AAA | FTL	IND000000ACA	IND143001AAA	FTL	2018-09-17	7	1	11.14	NULL	NULL	14.29	NULL	NULL
IND000000ACA -> IND144001AAB | FTL	IND000000ACA	IND144001AAB	FTL	2018-09-10	15	5	14.8	NULL	NULL	33.33	NULL	NULL
IND000000ACA -> IND144001AAB | FTL	IND000000ACA	IND144001AAB	FTL	2018-09-17	18	6	11.72	14.8	-3.08	5.56	33.33	-27.77
IND000000ACA -> IND144001AAB | FTL	IND000000ACA	IND144001AAB	FTL	2018-09-24	12	4	9.33	11.72	-2.39	0.00	5.56	-5.56
IND000000ACA -> IND144001AAB | FTL	IND000000ACA	IND144001AAB	FTL	2018-10-01	6	2	10.33	9.33	1	0.00	0.00	0.00
IND000000ACA -> IND144514AAA | FTL	IND000000ACA	IND144514AAA	FTL	2018-09-10	8	4	62.5	NULL	NULL	50.00	NULL	NULL
IND000000ACA -> IND144514AAA | FTL	IND000000ACA	IND144514AAA	FTL	2018-09-17	10	5	14.8	62.5	-47.7	10.00	50.00	-40.00
IND000000ACA -> IND144514AAA | FTL	IND000000ACA	IND144514AAA	FTL	2018-09-24	6	3	26.5	14.8	11.7	33.33	10.00	23.33
IND000000ACA -> IND147301AAA | FTL	IND000000ACA	IND147301AAA	FTL	2018-09-10	2	1	40	NULL	NULL	100.00	NULL	NULL
IND000000ACA -> IND147301AAA | FTL	IND000000ACA	IND147301AAA	FTL	2018-09-24	4	2	9.25	40	-30.75	25.00	100.00	-75.00
IND000000ACA -> IND152026AAA | FTL	IND000000ACA	IND152026AAA	FTL	2018-09-10	7	1	8.71	NULL	NULL	14.29	NULL	NULL
IND000000ACA -> IND160002AAC | Carting	IND000000ACA	IND160002AAC	Carting	2018-09-17	10	1	4.6	NULL	NULL	0.00	NULL	NULL
IND000000ACA -> IND160002AAC | FTL	IND000000ACA	IND160002AAC	FTL	2018-09-10	83	21	18.23	NULL	NULL	44.58	NULL	NULL
IND000000ACA -> IND160002AAC | FTL	IND000000ACA	IND160002AAC	FTL	2018-09-17	127	32	18.24	18.23	0.01	38.58	44.58	-6.00
IND000000ACA -> IND160002AAC | FTL	IND000000ACA	IND160002AAC	FTL	2018-09-24	44	11	17.02	18.24	-1.22	29.55	38.58	-9.03
IND000000ACA -> IND160002AAC | FTL	IND000000ACA	IND160002AAC	FTL	2018-10-01	24	6	17.17	17.02	0.15	45.83	29.55	16.28
IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	2018-09-10	71	12	13.75	NULL	NULL	42.25	NULL	NULL
IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	2018-09-17	24	4	7.96	13.75	-5.79	33.33	42.25	-8.92
IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	2018-09-24	30	5	16	7.96	8.04	20.00	33.33	-13.33
IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	2018-10-01	12	2	4.17	16	-11.83	16.67	20.00	-3.33
IND000000ACB -> IND110024AAA | Carting	IND000000ACB	IND110024AAA	Carting	2018-09-10	18	3	9.78	NULL	NULL	50.00	NULL	NULL
IND000000ACB -> IND110024AAA | Carting	IND000000ACB	IND110024AAA	Carting	2018-09-17	18	3	12.11	9.78	2.33	38.89	50.00	-11.11
IND000000ACB -> IND110030AAD | Carting	IND000000ACB	IND110030AAD	Carting	2018-09-10	59	12	9.92	NULL	NULL	32.20	NULL	NULL
