hub	total_departures	trip_count	downstream_corridors	downstream_sla_breaches	downstream_delay_minutes	avg_downstream_delay_minutes	downstream_sla_breach_rate_pct	downstream_delay_contribution_rank
IND000000ACB	23279	1063	49	5760	380997	16.37	24.74	1
IND421302AAG	9012	821	29	3081	170462	18.92	34.19	2
IND562132AAA	9907	768	35	2047	141665	14.3	20.66	3
IND411033AAA	4021	403	20	1039	69150	17.2	25.84	4
IND712311AAA	2591	262	22	1001	63205	24.39	38.63	5
IND501359AAE	3336	329	27	940	56263	16.87	28.18	6
IND781018AAB	1566	90	15	622	48950	31.26	39.72	7
IND110037AAM	2000	256	24	603	41465	20.73	30.15	8
IND160002AAC	2422	370	29	611	40502	16.72	25.23	9
IND395023AAA	2182	93	8	479	37324	17.11	21.95	10
IND751002AAB	1467	79	6	462	34037	23.2	31.49	11
IND382430AAB	1742	280	13	441	29362	16.86	25.32	12
IND462022AAA	1422	123	9	412	25568	17.98	28.97	13
IND209304AAA	1495	220	13	414	23614	15.8	27.69	14
IND131028AAB	1674	245	20	356	23595	14.09	21.27	15
IND600056AAB	1660	300	18	402	21059	12.69	24.22	16
IND854326AAB	1052	70	8	273	20442	19.43	25.95	17
IND560099AAB	1924	466	18	380	19881	10.33	19.75	18
IND834002AAB	1072	80	7	518	19563	18.25	48.32	19
IND560300AAA	1287	331	12	312	14369	11.16	24.24	20
IND847226AAA	104	21	1	58	13864	133.31	55.77	21
IND400072AAB	673	300	11	499	13836	20.56	74.15	22
IND842001AAA	646	178	15	280	13268	20.54	43.34	23
IND212402AAA	65	13	1	56	13129	201.98	86.15	24
IND302014AAA	788	96	8	206	12790	16.23	26.14	25
IND416606AAA	50	10	1	32	12314	246.28	64.00	26
IND425405AAA	21	15	2	17	12072	574.86	80.95	27
IND580028AAA	395	78	8	125	11702	29.63	31.65	28
IND110064AAA	226	42	3	40	11557	51.14	17.70	29
IND176310AAA	39	13	1	13	11533	295.72	33.33	30
IND175015AAA	49	13	1	24	10813	220.67	48.98	31
IND444005AAB	444	26	3	206	10735	24.18	46.40	32
IND713205AAB	167	45	11	86	10319	61.79	51.50	33
IND847404AAB	45	18	1	32	10059	223.53	71.11	34
IND473331AAA	35	17	1	18	9726	277.89	51.43	35
IND530012AAA	711	71	11	219	9422	13.25	30.80	36
IND413002AAA	496	58	5	177	9297	18.74	35.69	37
IND313001AAB	385	53	5	154	8895	23.1	40.00	38
