hub	week_start	total_departures	on_time_departures	hub_efficiency_score	previous_hub_efficiency_score	relative_efficiency_drop_pct	efficiency_dropped_gt_10pct
IND000000AAL	2018-09-17	11	0	0.0000	0.0000	NULL	0
IND000000AAL	2018-10-01	8	0	0.0000	0.0000	NULL	0
IND000000AAS	2018-09-17	10	0	0.0000	0.0000	NULL	0
IND000000AAS	2018-09-24	6	0	0.0000	0.0000	NULL	0
IND000000AAZ	2018-09-24	2	0	0.0000	0.0000	NULL	0
IND000000ABA	2018-09-24	5	1	0.2000	0.6667	70.00	1
IND000000ABD	2018-09-17	78	7	0.0897	0.0500	-79.40	0
IND000000ABD	2018-09-24	26	2	0.0769	0.0897	14.27	1
IND000000ABG	2018-09-17	17	0	0.0000	0.0000	NULL	0
IND000000ABG	2018-09-24	14	1	0.0714	0.0000	NULL	0
IND000000ACA	2018-09-17	194	9	0.0464	0.0222	-109.01	0
IND000000ACA	2018-09-24	84	2	0.0238	0.0464	48.71	1
IND000000ACA	2018-10-01	36	0	0.0000	0.0238	100.00	1
IND000000ACB	2018-09-17	7395	881	0.1191	0.1106	-7.69	0
IND000000ACB	2018-09-24	7093	757	0.1067	0.1191	10.41	1
IND000000ACB	2018-10-01	2951	308	0.1044	0.1067	2.16	0
IND000000ACK	2018-09-17	36	1	0.0278	0.0000	NULL	0
IND000000ACK	2018-09-24	37	0	0.0000	0.0278	100.00	1
IND000000ACK	2018-10-01	9	0	0.0000	0.0000	NULL	0
IND000000ACN	2018-09-17	14	1	0.0714	0.0000	NULL	0
IND000000ACN	2018-09-24	10	0	0.0000	0.0714	100.00	1
IND000000ACN	2018-10-01	4	0	0.0000	0.0000	NULL	0
IND000000ACT	2018-09-17	148	23	0.1554	0.1631	4.72	0
IND000000ACT	2018-09-24	187	15	0.0802	0.1554	48.39	1
IND000000ACT	2018-10-01	63	5	0.0794	0.0802	1.00	0
IND000000ADV	2018-09-17	24	0	0.0000	0.0000	NULL	0
IND000000ADV	2018-09-24	28	0	0.0000	0.0000	NULL	0
IND000000ADV	2018-10-01	12	1	0.0833	0.0000	NULL	0
IND000000AEL	2018-09-17	30	9	0.3000	0.0556	-439.57	0
IND000000AEL	2018-09-24	18	4	0.2222	0.3000	25.93	1
IND000000AEM	2018-09-17	35	3	0.0857	0.0667	-28.49	0
IND000000AEM	2018-09-24	6	0	0.0000	0.0857	100.00	1
IND000000AET	2018-09-17	15	0	0.0000	0.0000	NULL	0
IND000000AET	2018-09-24	6	0	0.0000	0.0000	NULL	0
IND000000AFG	2018-09-24	4	0	0.0000	0.0000	NULL	0
IND000000AFG	2018-10-01	2	0	0.0000	0.0000	NULL	0
IND000000AFJ	2018-09-17	12	4	0.3333	0.4000	16.68	1
IND000000AFJ	2018-09-24	14	5	0.3571	0.3333	-7.14	0
IND000000AFJ	2018-10-01	6	3	0.5000	0.3571	-40.02	0
IND000000AFR	2018-09-24	6	0	0.0000	0.0000	NULL	0
IND000000AFR	2018-10-01	6	0	0.0000	0.0000	NULL	0
IND000000AFT	2018-09-17	30	2	0.0667	0.1481	54.96	1
IND000000AFT	2018-09-24	69	7	0.1014	0.0667	-52.02	0
IND000000AFT	2018-10-01	26	1	0.0385	0.1014	62.03	1
IND110014AAA	2018-09-17	3	0	0.0000	0.0000	NULL	0
IND110014AAA	2018-09-24	1	0	0.0000	0.0000	NULL	0
IND110014AAA	2018-10-01	3	0	0.0000	0.0000	NULL	0
IND110020AAB	2018-09-24	2	0	0.0000	0.0000	NULL	0
IND110024AAA	2018-09-17	4	0	0.0000	0.0000	NULL	0
IND110024AAA	2018-09-24	1	0	0.0000	0.0000	NULL	0
IND110035AAC	2018-09-24	2	0	0.0000	0.5000	100.00	1
IND110035AAC	2018-10-01	2	0	0.0000	0.0000	NULL	0
IND110037AAK	2018-09-17	73	3	0.0411	0.0889	53.77	1
