lane_id	source_center	destination_center	route_type	segment_count	trip_count	sla_breach_count	sla_breach_rate_pct	avg_delay_minutes	avg_delay_ratio	risk_rank	risk_row_number
IND712310AAE -> IND712124AAA | Carting	IND712310AAE	IND712124AAA	Carting	59	30	59	100.00	27.41	4.14	1	1
IND742148AAA -> IND742225AAA | Carting	IND742148AAA	IND742225AAA	Carting	45	16	45	100.00	14.69	4.59	2	2
IND211011AAA -> IND212501AAA | Carting	IND211011AAA	IND212501AAA	Carting	38	13	38	100.00	23.61	4.61	3	3
IND421502AAA -> IND421302AAR | Carting	IND421502AAA	IND421302AAR	Carting	33	17	33	100.00	22.09	3.74	4	4
IND742225AAA -> IND742223AAA | Carting	IND742225AAA	IND742223AAA	Carting	32	16	32	100.00	15.84	4.87	5	5
IND700065AAB -> IND712310AAA | Carting	IND700065AAB	IND712310AAA	Carting	30	15	30	100.00	47.8	5.51	6	6
IND210001AAA -> IND210427AAA | FTL	IND210001AAA	IND210427AAA	FTL	30	10	30	100.00	38.3	4.16	7	7
IND821109AAA -> IND802213AAB | FTL	IND821109AAA	IND802213AAB	FTL	24	11	24	100.00	64.21	5.34	8	8
IND742121AAA -> IND742102AAB | Carting	IND742121AAA	IND742102AAB	Carting	24	12	24	100.00	32.17	3.81	9	9
IND732103AAB -> IND732202AAA | Carting	IND732103AAB	IND732202AAA	Carting	24	8	24	100.00	19.88	7.45	10	10
